"text","favorited","favoriteCount","replyToSN","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"All U.S. forces involved in the anti-ISIS fight will withdraw from northeast Syria in the coming days, according to… https://t.co/TvJtUvCiDD",FALSE,87,NA,TRUE,NA,"1183525581171941381",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",49,FALSE,FALSE,NA,NA
"Atatiana Jefferson and her 8-year-old nephew were playing video games when a white police officer fired through her… https://t.co/Z6nAeLw6NE",FALSE,245,NA,TRUE,NA,"1183518303911927808",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",217,FALSE,FALSE,NA,NA
"Susan Rice, former national security adviser, said the Trump administration's decision to withdraw troops from nort… https://t.co/FTrnphlLlE",FALSE,556,NA,TRUE,NA,"1183517867804889088",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",228,FALSE,FALSE,NA,NA
"The U.S. government has waived 41 federal environmental laws to expedite the construction of President Trump's bord… https://t.co/KfgSqGK6db",FALSE,435,NA,TRUE,NA,"1183510739136450561",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",551,FALSE,FALSE,NA,NA
"Brigid Kosgei won the Chicago Marathon with a time of 2 hours 14 minutes 4 seconds, breaking the previous world rec… https://t.co/x83DYgOXob",FALSE,1702,NA,TRUE,NA,"1183503190366605315",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",217,FALSE,FALSE,NA,NA
"One Stanford psychologist says empathy can be developed, like a muscle. He thinks that could affect the world posit… https://t.co/oYewwD1Pb6",FALSE,1330,NA,TRUE,NA,"1183495644310319105",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",476,FALSE,FALSE,NA,NA
"Foreboding yet fulfilling, this duo of cosmic horror stories stabs at the heart of what it means to be human — and… https://t.co/tGiR5M2TMe",FALSE,111,NA,TRUE,NA,"1183487832037437447",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",33,FALSE,FALSE,NA,NA
"@NPR UPDATE: Two U.S. officials close to those fighting ISIS tell NPR’s Tom Bowman that all U.S. forces involved in… https://t.co/rjbyUR9sgq",FALSE,38,"NPR",TRUE,"1183434994112434178","1183481971911077895","5392522","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",26,FALSE,FALSE,NA,NA
"A machine designed to detect agents of chemical warfare can also test trace drug samples for fentanyl and other dea… https://t.co/U9EgYJf8lD",FALSE,91,NA,TRUE,NA,"1183480544740421632",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",31,FALSE,FALSE,NA,NA
"Simone Biles raked in her 24th and 25th world medals — both gold — at the World Championships today, surpassing Vit… https://t.co/UK1KyVWm19",FALSE,2736,NA,TRUE,NA,"1183474872963534848",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",348,FALSE,FALSE,NA,NA
"Eliud Kipchoge is the first person to run a marathon in under two hours, clocking in at 1:59:40 as he passed the fi… https://t.co/isGuEwvGTd",FALSE,438,NA,TRUE,NA,"1183472999267258370",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",88,FALSE,FALSE,NA,NA
"""Orpheus Girl"" transplants the myth of Orpheus and Eurydice to modern-day Texas, for a wrenching tale of love betwe… https://t.co/piPDZZW15P",FALSE,203,NA,TRUE,NA,"1183465697919275008",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",37,FALSE,FALSE,NA,NA
"Like the fence-hopping skaters who would scout vacant pools to shred, photographer Amir Zaki found opportunity in e… https://t.co/zBmrJmAUxg",FALSE,168,NA,TRUE,NA,"1183456351760068609",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",27,FALSE,FALSE,NA,NA
"ICYMI: California Gov. Gavin Newsom has signed a bill that will make HIV-prevention drugs available without a presc… https://t.co/M6Hviskruy",FALSE,1016,NA,TRUE,NA,"1183450102922395651",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",207,FALSE,FALSE,NA,NA
"An enormous 3D printer, promoted as the world's largest, knocked out a 25-foot, 5,000-pound boat in about three day… https://t.co/aWPaeHlbOt",FALSE,201,NA,TRUE,NA,"1183446981156524033",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",67,FALSE,FALSE,NA,NA
"The U.S. says it will pull out the 1,000 troops it has in northern Syria, as they're now endangered by Turkey's inc… https://t.co/AiepRV2XEi",FALSE,191,NA,TRUE,NA,"1183434994112434178",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",175,FALSE,FALSE,NA,NA
"Here's a look at how the impeachment inquiry into President Trump and a more-crowded debate stage could impact the… https://t.co/mZc4ZKDH3O",FALSE,50,NA,TRUE,NA,"1183427426979930113",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","NPR",12,FALSE,FALSE,NA,NA
"When Aerial Gilbert was blinded by tainted eyedrops in 1988, she thought she’d have to give up beekeeping. But she… https://t.co/bxopzBaunE",FALSE,334,NA,TRUE,NA,"1183426942474903553",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",86,FALSE,FALSE,NA,NA
"A white police officer fired through the window of a black woman's home and killed her after responding to a neighb… https://t.co/PWafbQwFuN",FALSE,644,NA,TRUE,NA,"1183421607018225670",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",556,FALSE,FALSE,NA,NA
"The winner of Fat Bear Week 2019 is ... Bear No. 435 — or if you prefer a name, Holly. 

And the champ earned her t… https://t.co/7pwMiSdO06",FALSE,1156,NA,TRUE,NA,"1183414401287761921",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",222,FALSE,FALSE,NA,NA
"In Zimbabwe, like many countries, there are few options for mental health care. One psychiatrist came up with an un… https://t.co/Y7fPx8WhvP",FALSE,229,NA,TRUE,NA,"1183412339091148800",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",64,FALSE,FALSE,NA,NA
"""a creep""
""a disgrace"" 
""a disaster""

An NPR analysis shows that President Trump's tweets attacking members of Cong… https://t.co/57WdT6UdOG",FALSE,963,NA,TRUE,NA,"1183405038665900033",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",482,FALSE,FALSE,NA,NA
"A month after his epic win over Muhammad Ali, Joe Frazier wanted to use his celebrity to promote racial harmony — b… https://t.co/TdFn6rYhLi",FALSE,175,NA,TRUE,NA,"1183396635214254080",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",42,FALSE,FALSE,NA,NA
"Construction has begun on President Trump's border wall between Arizona and Mexico, and conservationists are furiou… https://t.co/OORC1FiuB0",FALSE,355,NA,TRUE,NA,"1183382393891311617",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",268,FALSE,FALSE,NA,NA
